
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7C:8B:CA:83:E2:1C, 2018-11-25 03:07:33, 2018-11-25 03:07:37, 11, 270, WPA2, CCMP, PSK, -69,        5,        2,   0.  0.  0.  0,   9, athome191, 
B0:4E:26:D9:22:E2, 2018-11-25 03:07:34, 2018-11-25 03:07:37,  1, 405, WPA2 WPA, CCMP TKIP, PSK, -58,        9,        0,   0.  0.  0.  0,  11, Hobbit_2.4G, 
EA:28:5D:7A:E0:D8, 2018-11-25 03:07:34, 2018-11-25 03:07:34,  1, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   7, Plumbum, 
14:DD:A9:CD:F7:70, 2018-11-25 03:07:34, 2018-11-25 03:07:37,  6, 130, WPA2, CCMP, PSK, -72,        4,        0,   0.  0.  0.  0,   4, ASUS, 
18:0F:76:93:FD:C5, 2018-11-25 03:07:34, 2018-11-25 03:07:34, 13, 130, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,   6, Sky104, 
E0:46:9A:3B:1B:3A, 2018-11-25 03:07:34, 2018-11-25 03:07:38,  3,  65, WPA2 WPA, CCMP TKIP, PSK, -78,       11,       23,   0.  0.  0.  0,  16, WiFi-Dom.ru-3624, 
10:C3:7B:C9:54:B4, 2018-11-25 03:07:34, 2018-11-25 03:07:38,  2, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,   4, ASUS, 
30:87:D9:63:87:23, 2018-11-25 03:07:35, 2018-11-25 03:07:35,  3, 130, WPA2, CCMP, PSK, -86,        4,        0,   0.  0.  0.  0,  13, island-238720, 
18:D6:C7:44:12:68, 2018-11-25 03:07:35, 2018-11-25 03:07:35,  9, 270, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  10, Sumtel_166, 
64:66:B3:33:80:C4, 2018-11-25 03:07:36, 2018-11-25 03:07:36,  5, 270, WPA2, CCMP, PSK, -80,        3,        0,   0.  0.  0.  0,   6, Tetnet, 
F8:F0:82:F4:1E:86, 2018-11-25 03:07:36, 2018-11-25 03:07:36,  5, 270, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   6, Zet-29, 
F0:B4:29:83:00:40, 2018-11-25 03:07:36, 2018-11-25 03:07:37,  6, 130, WPA2, CCMP TKIP, PSK, -83,        2,        2,   0.  0.  0.  0,  11, Xiaomi_003F, 
00:1F:C6:3D:92:DC, 2018-11-25 03:07:36, 2018-11-25 03:07:37, 11,  54, WPA2, CCMP, PSK, -86,        3,        0,   0.  0.  0.  0,   6, Techno, 
00:17:9A:72:6D:7C, 2018-11-25 03:07:36, 2018-11-25 03:07:36, 11, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   6, ENERGO, 
90:F6:52:B1:51:56, 2018-11-25 03:07:36, 2018-11-25 03:07:36, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  11, TP-LINK_173, 
00:21:27:D0:AA:76, 2018-11-25 03:07:37, 2018-11-25 03:07:37,  6,  54, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  14, TP-LINK_D0AA76, 
00:26:5A:32:C4:1D, 2018-11-25 03:07:37, 2018-11-25 03:07:37,  6,  54, WPA2 WPA, CCMP TKIP, PSK, -85,        2,        0,   0.  0.  0.  0,   3, nnz, 
2C:B0:5D:A2:C0:A9, 2018-11-25 03:07:38, 2018-11-25 03:07:38,  2, 135, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,   7, Network, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6C:71:D9:DF:33:F3, 2018-11-25 03:07:35, 2018-11-25 03:07:35, -65,       23, E0:46:9A:3B:1B:3A,
E4:9A:79:57:45:68, 2018-11-25 03:07:35, 2018-11-25 03:07:35, -76,        1, E0:46:9A:3B:1B:3A,
AC:EE:9E:2F:E8:60, 2018-11-25 03:07:36, 2018-11-25 03:07:36, -69,        2, 7C:8B:CA:83:E2:1C,
90:F1:AA:30:A9:90, 2018-11-25 03:07:37, 2018-11-25 03:07:37,  -1,        2, F0:B4:29:83:00:40,

