
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
EA:28:5D:7A:E0:D8, 2018-09-02 14:56:59, 2018-09-02 14:57:03,  3,  54, WPA2, CCMP,PSK, -91,        2,        0,   0.  0.  0.  0,   7, Plumbum, 
00:26:5A:32:C4:1D, 2018-09-02 14:56:57, 2018-09-02 14:57:09,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -92,        3,        0,   0.  0.  0.  0,   3, nnz, 
D8:50:E6:F2:48:D4, 2018-09-02 14:57:16, 2018-09-02 14:57:20,  6,  54, WPA2, CCMP,PSK, -90,        2,        0,   0.  0.  0.  0,   5, kilka, 
54:E6:FC:FD:8A:24, 2018-09-02 14:56:57, 2018-09-02 14:57:34, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       14,        0,   0.  0.  0.  0,  14, TP-LINK_FD8A24, 
FA:8F:CA:3C:39:12, 2018-09-02 14:56:58, 2018-09-02 14:57:35, 12,  54, OPN, ,   , -89,       15,        0,   0.  0.  0.  0,   0, , 
90:F6:52:B1:51:56, 2018-09-02 14:56:56, 2018-09-02 14:57:37,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       11,        0,   0.  0.  0.  0,  11, TP-LINK_173, 
F0:B4:29:D7:CC:C4, 2018-09-02 14:57:01, 2018-09-02 14:57:27, 11,  54, WPA2, CCMP,PSK, -87,        7,        0,   0.  0.  0.  0,   7, smurf2G, 
F0:B4:29:83:00:40, 2018-09-02 14:56:56, 2018-09-02 14:57:37,  4,  54, WPA2, CCMP TKIP,PSK, -83,       27,        5,   0.  0.  0.  0,  11, Xiaomi_003F, 
14:DD:A9:CD:F7:70, 2018-09-02 14:56:54, 2018-09-02 14:57:35,  6,  54, WPA2, CCMP,PSK, -78,       62,       61,   0.  0.  0.  0,   4, ASUS, 
E0:46:9A:3B:1B:3A, 2018-09-02 14:56:54, 2018-09-02 14:57:35,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -72,       50,        3,   0.  0.  0.  0,  16, WiFi-Dom.ru-3624, 
7C:8B:CA:83:E2:1C, 2018-09-02 14:56:55, 2018-09-02 14:57:37,  3,  54, WPA2, CCMP,PSK, -69,       83,      241,   0.  0.  0.  0,   9, athome191, 
8E:99:E6:1B:F9:86, 2018-09-02 14:56:57, 2018-09-02 14:57:35, 11,  54, OPN, ,   , -64,       32,      255, 192.168. 43.204,  11, "\xD0.\xD0\xB0\xD1.\xD1.\xD0\xB0 ", 
D4:60:E3:CF:C4:16, 2018-09-02 14:56:54, 2018-09-02 14:57:35,  1,  54, WPA2, CCMP TKIP,PSK, -63,       39,       45,   0.  0.  0.  0,  23, MTSRouter_2.4GHz_002815, 
A4:2B:B0:E4:45:A0, 2018-09-02 14:56:56, 2018-09-02 14:57:37,  5,  54, WPA2, CCMP,PSK, -54,       96,       26,   0.  0.  0.  0,   8, Toulouse, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
54:27:58:26:34:2A, 2018-09-02 14:56:57, 2018-09-02 14:56:57, -92,        2, (not associated) ,
E0:DB:10:77:B3:DB, 2018-09-02 14:57:07, 2018-09-02 14:57:37, -94,      237, 7C:8B:CA:83:E2:1C,
DA:A1:19:3F:7F:33, 2018-09-02 14:57:24, 2018-09-02 14:57:24, -88,        1, (not associated) ,
9C:5C:F9:6C:12:C9, 2018-09-02 14:57:02, 2018-09-02 14:57:02, -87,        2, (not associated) ,
34:23:87:D8:B6:59, 2018-09-02 14:56:58, 2018-09-02 14:57:12, -84,        3, 14:DD:A9:CD:F7:70,
40:B3:95:46:C5:0A, 2018-09-02 14:57:12, 2018-09-02 14:57:37, -88,        6, (not associated) ,
84:7A:88:37:7D:F0, 2018-09-02 14:57:03, 2018-09-02 14:57:36, -83,       12, 7C:8B:CA:83:E2:1C,athome191
DA:A1:19:E8:3D:F1, 2018-09-02 14:56:59, 2018-09-02 14:56:59, -79,        2, (not associated) ,
88:75:98:4F:EB:27, 2018-09-02 14:57:00, 2018-09-02 14:57:00, -78,        3, (not associated) ,
AC:EE:9E:2F:E8:60, 2018-09-02 14:56:59, 2018-09-02 14:56:59, -77,        1, 7C:8B:CA:83:E2:1C,
00:6D:52:18:DF:F4, 2018-09-02 14:56:59, 2018-09-02 14:57:09, -73,        6, E0:46:9A:3B:1B:3A,WiFi-Dom.ru-3624
50:2E:5C:30:1F:F4, 2018-09-02 14:56:55, 2018-09-02 14:57:32, -71,      308, 8E:99:E6:1B:F9:86,
DA:A1:19:C5:CA:39, 2018-09-02 14:57:17, 2018-09-02 14:57:17, -68,        5, (not associated) ,
74:D2:1D:E8:51:AC, 2018-09-02 14:56:58, 2018-09-02 14:57:15, -59,       12, A4:2B:B0:E4:45:A0,
40:F3:01:BD:2C:32, 2018-09-02 14:57:16, 2018-09-02 14:57:16, -56,        1, A4:2B:B0:E4:45:A0,
9C:2E:A1:CE:F3:CD, 2018-09-02 14:56:57, 2018-09-02 14:57:12, -53,       14, A4:2B:B0:E4:45:A0,
DA:A1:19:E7:6A:E9, 2018-09-02 14:57:11, 2018-09-02 14:57:12, -50,       16, (not associated) ,
90:F1:AA:30:A9:90, 2018-09-02 14:57:00, 2018-09-02 14:57:22,  -1,        2, F0:B4:29:83:00:40,
60:30:D4:74:74:68, 2018-09-02 14:57:01, 2018-09-02 14:57:31,  -1,       43, 14:DD:A9:CD:F7:70,
68:14:01:B8:D8:F5, 2018-09-02 14:57:20, 2018-09-02 14:57:20,  -1,        1, D4:60:E3:CF:C4:16,
4C:57:CA:1E:5F:D9, 2018-09-02 14:57:23, 2018-09-02 14:57:23,  -1,        1, 14:DD:A9:CD:F7:70,
A4:E9:75:1D:2F:21, 2018-09-02 14:57:23, 2018-09-02 14:57:23,  -1,        1, 14:DD:A9:CD:F7:70,
40:45:DA:78:5F:16, 2018-09-02 14:57:28, 2018-09-02 14:57:31,  -1,       44, D4:60:E3:CF:C4:16,
